"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка текста отображения ответа на вопрос","4691","FAQ на главной","tests","2025-10-06","passed","2025-10-06","","test_main_page","",""
"Проверка текста отображения ответа на вопрос","4603","FAQ на главной","tests","2025-10-06","passed","2025-10-06","","test_main_page","",""
"Проверка текста отображения ответа на вопрос","5702","FAQ на главной","tests","2025-10-06","passed","2025-10-06","","test_main_page","",""
"Проверка перехода по клику на логотип Самоката","3945","Навигация по логотипу Самокат","tests","2025-10-06","passed","2025-10-06","","test_order_page","",""
"","5904","Заказ самоката через верхнюю кнопку","tests","2025-10-06","passed","2025-10-06","","test_order_page","",""
"Проверка текста отображения ответа на вопрос","5535","FAQ на главной","tests","2025-10-06","passed","2025-10-06","","test_main_page","",""
"Проверка текста отображения ответа на вопрос","8711","FAQ на главной","tests","2025-10-06","passed","2025-10-06","","test_main_page","",""
"Проверка текста отображения ответа на вопрос","4376","FAQ на главной","tests","2025-10-06","passed","2025-10-06","","test_main_page","",""
"Проверка текста отображения ответа на вопрос","7161","FAQ на главной","tests","2025-10-06","passed","2025-10-06","","test_main_page","",""
"Проверка, что клик по логотипу Яндекс ведёт на dzen.ru через retpath","4847","Навигация по логотипу Яндекс","tests","2025-10-06","passed","2025-10-06","","test_order_page","",""
"","5899","Заказ самоката через нижнюю кнопку","tests","2025-10-06","passed","2025-10-06","","test_order_page","",""
"Проверка текста отображения ответа на вопрос","4892","FAQ на главной","tests","2025-10-06","passed","2025-10-06","","test_main_page","",""
